"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"400","MS1334","ws",30,1.7398355,2.1479826,2.18027127,2.701877,0.350035281787467,0.610817325
"401","MS1334","ww",6,0.7426348,1.02962995,1.088400526,1.5319842,0.238264233681953,0.290150405
"402","MS1334","ww",30.0002777777778,2.7435584,3.5969859,3.58821372,4.6465464,0.709555358302701,1.158376025
"403","MS153","ws",6,0,0.80936413,1.124837457,2.5602052,0.806198324654988,1.3821606575
"404","MS153","ww",6,0.45739865,1.48856555,1.9652658325,5.02897,1.40175492855605,1.868702275
"405","MS71","ws",6,0.16464336,0.40533666,0.407596048,0.60439163,0.153269877039623,0.2393340525
"406","MS71","ws",35.9683333333333,1.6876067,2.05224255,2.06073174,2.4900358,0.221730424406075,0.235621625
"407","MS71","ww",6,0.19999999,0.48879871,0.477711083,0.90628797,0.200482619354789,0.188532155
"408","MS71","ww",35.9594444444444,0.6668044,2.80738545,3.02950121,5.142333,1.60763541851009,2.345411225
"409","N192","ws",6,0,0.214069285,0.20011577884,0.4371013,0.158233498417832,0.2645206337
"410","N192","ws",23.1666666666667,0.6140207,1.2835374,1.321402901,2.0996177,0.481365098427418,0.58445203
"411","N192","ww",6,0,0.182857595,0.316485605,1.2205032,0.398748107480185,0.48052966
"412","N192","ww",23.0175,0.4558526,2.5423952,2.24959125,3.532566,0.963438410464391,1.259606825
"413","N28HT","ws",6,0,0.9803419,1.259655944,3.7001674,1.15317759054723,1.661357695
"414","N28HT","ww",6,0,0.485283065,1.4493270905,5.383552,1.80653874155942,2.25945343
"415","N6","ws",6,0,0,0.01823361,0.1823361,0.0576597375672228,0
"416","N6","ws",47.9997222222222,0,0.5949313,1.46600649,6.3428154,2.054043446708,2.008783075
"417","N6","ww",6,0,0,0,0,0,0
"418","N6","ww",35.9997222222222,0,1.078254,1.586589073,6.308845,1.82940743899036,1.2318361375
"419","NC222","ws",6,0,0,0.1145885875,1.3167201,0.309293522409411,0
"420","NC222","ww",6,0,0,0.367457601,3.3476055,0.939676245963329,0
"421","NC230","ws",6,0,0.0255769825,0.1041979195,0.44685185,0.150098418047686,0.1786512225
"422","NC230","ws",53.9997222222222,1.7676553,3.6395418,3.5283388,4.3283257,0.786182475158635,0.738210350000001
"423","NC230","ww",6,0,0,0.0805539425,0.293015,0.118730580696776,0.16090835625
"424","NC258","ws",6,0,0.448593035,0.414211761,0.77675754,0.203375383446897,0.1926636675
"425","NC258","ws",36,0.32524624,0.916742085,1.087342723,2.0271227,0.709903557074451,1.224981425
"426","NC258","ww",6,0.68466073,0.838336715,0.955041041,1.4771204,0.248248694094408,0.2400080125
"427","NC258","ww",36.1505555555556,0,0.44740045,1.335839396,4.881321,1.67034492599183,1.1918174675
"428","NC260","ws",6,0,0.085064655,0.139848174,0.4486486,0.162415539059632,0.2562692875
"429","NC260","ws",36,0,0.51335874,0.463401398,1.4372874,0.434437918049386,0.514938165
"430","NC260","ww",6,0,0.203291405,0.1883404105,0.49355814,0.163458156550858,0.25161800625
"431","NC260","ww",36,0,2.82307,2.42971006,4.688607,1.5459726720403,1.651992025
"432","NC262","ws",6,0,0.145729455,0.116681071,0.377513,0.121169347283577,0.1579248925
"433","NC262","ws",36,0,0.217629755,0.258933704,0.5414165,0.220857708229698,0.4017468225
"434","NC262","ww",6,0,0,0.103664424,0.46315083,0.156566507002128,0.1818181775
"435","NC262","ww",36,0,1.4025196,1.327964025,2.924486,0.988040672973543,1.4912609125
"436","NC264","ws",6,0,0.32376044,1.3270603835,5.077383,1.71428873160553,2.2386129
"437","NC264","ww",6,0,0.500232275,0.836885314,1.9800167,0.779269975620083,1.4614897975
"438","NC294","ws",6,0,0.038229675,0.098125429,0.34271908,0.132673653865771,0.124529525
"439","NC294","ws",30.35,0.6070227,1.4350892,1.35556003,1.7782735,0.361833485935528,0.463853175
"440","NC294","ww",6,0.057537336,0.19081911,0.1973381926,0.45903084,0.116680472072011,0.10634871
"441","NC294","ww",30.395,0.8255334,2.79677,2.66928473,3.593353,0.793991273612418,0.8827333
"442","NC296","ws",6,0,0.017141981,0.0570474566,0.15757576,0.0680297212685125,0.1274405585
"443","NC296","ws",36,0,0,0.196282972,1.5805789,0.501007351636498,0
"444","NC296","ww",6,0,0,0.065176624,0.18982375,0.0847837740209829,0.154322
"445","NC296","ww",36,0,0,0.60625832,3.2698622,1.11535222965312,0.76667475
"446","NC296A","ws",6,0,0,0.075963945,1.5192789,0.33972108971811,0
"447","NC296A","ww",6,0,0,0.0951360885,1.0116272,0.293474792045938,0
"448","NC300","ws",6,0,0,0.174298497,1.4246649,0.377249978778082,0.0677596325
"449","NC300","ww",6,0,0,0.2785180395,2.0098095,0.500829774202831,0.42187621
"450","NC304","ws",6,1.1307904,1.3319099,1.36276075,1.6402844,0.142617079914272,0.1306443
"451","NC304","ws",30,2.0348997,2.3595204,2.45292017,2.8917997,0.316536238589142,0.533212225000001
"452","NC304","ww",6,1.2380182,1.73333595,1.69315876,1.9852557,0.22390810649296,0.19597825
"453","NC304","ww",30,1.7376701,3.2353557,3.38985957,5.0015097,1.09610956535501,1.4867115
"454","NC306","ws",6,0.8938726,2.26143765,2.43592193,3.7933385,0.967633430871818,1.698834725
"455","NC306","ww",6,1.3391553,2.7710252,3.19418854,5.876899,1.53720054942869,2.82463045
"456","NC310","ws",6,0.41372237,1.6769833,1.901899055,3.4877145,0.997452437165103,1.73801975
"457","NC310","ww",6,0.913564,1.9711525,3.0221749675,6.5299454,2.11576092960248,3.88106865
"458","NC314","ws",6,0,0.11853095,0.1494079,0.4024717,0.163719125022079,0.2681818
"459","NC314","ws",10.7666666666667,0,0.35289982,0.364255594545455,0.71792436,0.241561565274286,0.356506295
"460","NC314","ws",34.7666666666667,0,1.7945118,1.6869559,2.316892,0.650635973858011,0.42662425
"461","NC314","ww",6,0,0.255015265,0.316854133,0.7724701,0.329033422609798,0.607655975
"462","NC314","ww",35.9997222222222,0,3.23547125,2.68714282,4.2099257,1.53527454405395,2.036792775
"463","NC318","ws",6,0.42700398,0.558961,0.603911817,0.902852,0.170278425146572,0.20520847
"464","NC318","ws",36.0002777777778,1.2480783,2.1573389,2.09603837,3.3642883,0.559506051175052,0.324290475
"465","NC318","ww",6,0.49864316,0.66402085,0.735926721,1.1550102,0.219550686828306,0.296908045
"466","NC318","ww",36,2.5093656,4.413317,4.30895404,5.634162,1.05615493773089,1.42448935
"467","NC320","ws",6,0.09913256,0.41425486,0.425915098,0.64241225,0.150065668423552,0.1156678225
"468","NC320","ws",36,0.616724,1.12402315,1.195524257,1.7332419,0.342415256636455,0.504729475
"469","NC320","ww",6,0.37595302,0.52796737,0.559277102,0.754768,0.122204563084881,0.13209691
"470","NC320","ww",36,1.4108602,3.12676585,3.09451255,4.3130293,0.965203056591728,1.526523475
"471","NC324","ws",6,0.47529095,1.9673989,1.8300534095,3.0504088,0.940355537787085,1.7642392575
"472","NC324","ww",6,0.84492147,1.5176218,2.4059161815,5.2739186,1.56232055709392,2.441260175
"473","NC328","ws",6,0,0.354460485,0.327506368,0.49393007,0.146620485651951,0.1421833175
"474","NC328","ws",36,0.8427441,1.2965436,1.256684024,1.7628443,0.300874703514436,0.4145658
"475","NC328","ww",6,0,0.54201168,0.53610572,0.8250671,0.213589619414025,0.1148230375
"476","NC328","ww",36,1.911254,2.7588157,2.86233214,3.772017,0.618276937039632,0.773086525
"477","NC33","ws",6,0,0.127860482,0.1491481054,0.3692496,0.13509329999744,0.2411677775
"478","NC33","ws",36,0,1.05639465,1.057983464,1.9279937,0.605220402971605,0.81846864
"479","NC33","ww",6,0,0.214065105,0.141581622,0.2844583,0.123525704575551,0.2340731925
"480","NC33","ww",36,0.5041947,2.12174645,1.982541865,3.414203,0.95162272498853,1.137359425
"481","NC336","ww",6,0,0.038330637,0.072938738,0.19582418,0.0795818046842563,0.12121212
"482","NC336","ww",28.7541666666667,2.3205078,3.1102649,3.15171635,3.688216,0.433889525209648,0.6125494
"483","NC338","ws",6,0,0,0,0,0,0
"484","NC338","ws",36,0,0.211947599,0.4556243238,1.3110182,0.534699647628435,0.87455221
"485","NC338","ww",6,0,0,0.02941396,0.2941396,0.0930151086050863,0
"486","NC338","ww",36,0.8363447,1.60726275,1.5168486,2.56798,0.505221302446091,0.5569689
"487","NC342","ws",6,0,0.18841122,0.270471565,0.7608289,0.308441819668662,0.4704622675
"488","NC342","ws",54,3.1829958,4.7810893,5.08222941111111,7.2764235,1.30268164466162,1.360254
"489","NC342","ww",6,0,0.24875428,0.255970926,0.7533466,0.262217995477928,0.4156083275
"490","NC342","ww",36.0008333333333,2.909956,5.6494813,5.72012389,8.356791,1.78792592452622,2.17034775
"491","NC346","ws",6,0,0,0.0676710714285714,1.4210925,0.310107807180192,0
"492","NC346","ww",6,0,0.116865687,0.8019786822,3.5667841,1.22693426053082,1.7249508
"493","NC348","ws",6,0.6532415,1.0633521,1.7868877725,3.5565429,1.08672394413894,1.926392425
"494","NC348","ww",6,0.7530775,1.22521445,2.19604328,5.2376595,1.61084190346858,2.297932575
"495","NC350","ws",6,0.16307423,0.392428545,0.359623753,0.47137624,0.103553702843685,0.13201585
"496","NC350","ws",36,0.41917446,0.9470992,1.126043319,2.048778,0.626473819526332,1.0597628025
"497","NC350","ww",6,0.43904898,0.544710755,0.560016824,0.7515894,0.0972433501276403,0.1250654625
"498","NC350","ww",36,0.79369086,3.74806015,3.420055686,4.7012014,1.18595588612775,1.328561025
"499","NC354","ws",6,0.55277765,0.84362307,0.957516215,1.5513685,0.379006096126195,0.656281815
"500","NC354","ws",24.0002777777778,1.0886335,2.1035637,2.10709084,3.2040172,0.833753273353555,1.475161025
"501","NC354","ww",6,0.48588616,0.86129735,0.885622976,1.3011042,0.27002617448565,0.327077955
"502","NC354","ww",30.0002777777778,1.441132,3.07623875,3.07809564,4.8905363,1.11570063984838,1.1230613
"503","NC356","ws",6,0.31755266,0.50815711,0.536919904,1.0175744,0.212073545948521,0.221939205
"504","NC356","ws",24,1.5842957,1.91812435,1.96019361,2.4376452,0.292580814095234,0.505028125
"505","NC356","ww",6,0.21127085,0.438351465,0.424533322,0.640247,0.14099624323624,0.2122595175
"506","NC356","ww",24.0013888888889,1.5582004,2.3912237,2.47118719,3.6834838,0.763189099116006,1.0917911
"507","NC360","ws",6,0,0.264694605,0.588170503888889,2.018467,0.671407683272482,0.8699720425
"508","NC360","ww",6,0,0.585578425,1.414508546,4.1052656,1.44665395323407,2.2778584625
"509","NC362","ws",6,0.27272725,0.5131175,0.537253919,0.8975633,0.207710509101793,0.222725665
