"","inbred","rootbot_date","scored","source","earliest_scored_plate","condition","cassette","uid","in_meta","image","root","vector_length","surface","volume","direction","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child","file","in_df"
"51","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," b39204ad-78b9-4962-976e-73532ff7998f",0.056467682,0.011256791,0.0001693297,290.614112654991,0.06111592,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"52","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 0857b85f-50b8-421d-860c-723e34b8d4ce",0.20762993,0.07851788,0.002362833,284.139011359549,0.12028598,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"53","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 7eaf652e-04b5-4de2-9c21-129e07416775",0.13767709,0.008535765,4.3296728e-05,257.554712996565,0.01971652,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"54","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 04eb9ae2-fb7a-4437-b60c-be876b40b317",0.13827269,0.017144902,0.0001701282,284.674525511234,0.039432243,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"55","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," a64664a4-adfb-4f10-a404-6b4539f0be4d",0.18392405,0.06863756,0.0020175078,271.028408606196,0.11041873,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"56","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 0d6a2569-dc1b-45d7-ba10-cde0893c6d9b",0.3501752,0.10989556,0.0029729728,278.285266033281,0.09858953,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"57","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," da725222-c2d2-4021-9a90-0c611e6e7bb4",0.3648987,0.04012874,0.0003586496,272.026490489231,0.034830753,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"58","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," d4109f26-2570-4779-8b67-78bd1e26fcfd",0.19886012,0.011087596,4.9984723e-05,270.380824710609,0.01774412,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"59","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," d573150f-3df3-4c37-b7f5-ce97ee29085d",0.35422096,0.0461519,0.00051309686,297.937414162322,0.04140888,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"60","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181108-164457-plate_007"," 4946ef21-dacc-496e-a5c8-597c606af770",2.694174,1.257708,0.052150633,261.553542868797,0.13074629,0," Primary root","-1","-1",-0.003753754,-57.2957795130823,0,0," null"," null"," null"," null","20181108-164457-plate_007.csv",TRUE
